ID,initial_query
90,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <table>, <schema>.<table> or <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of intricate CROSS JOINS and LATERAL JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for an insurance company.

The resulting output should strictly be the SQL query without any surrounding text."
91,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <table>, <schema>.<table> or <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of a long list of JOIN operations on the tables. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a travel agency.

The resulting output should strictly be the SQL query without any surrounding text."
92,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <schema>.<table> or kusto's <database>['|'].<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of intricate CROSS JOINS and LATERAL JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a manufacturing company.

The resulting output should strictly be the SQL query without any surrounding text."
93,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <table>, <schema>.<table> or <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of INNER, LEFT and OUTER JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a pharmaceutical company.

The resulting output should strictly be the SQL query without any surrounding text."
94,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <project>.<dataset>.<table>, <table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of some creative JOIN operations. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a real estate business.

The resulting output should strictly be the SQL query without any surrounding text."
95,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of INNER, LEFT and OUTER JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a real estate business.

The resulting output should strictly be the SQL query without any surrounding text."
96,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like kusto's <database>['|'].<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of the most frequent joins. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a bank.

The resulting output should strictly be the SQL query without any surrounding text."
97,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of regular joins and a final CROSS JOIN. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a travel agency.

The resulting output should strictly be the SQL query without any surrounding text."
98,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <project>.<dataset>.<table>, <table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of the most frequent joins. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for an insurance company.

The resulting output should strictly be the SQL query without any surrounding text."
99,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <table>, <schema>.<table> or <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of regular joins and a final CROSS JOIN. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for an education institution.

The resulting output should strictly be the SQL query without any surrounding text."
100,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <schema>.<table> or kusto's <database>['|'].<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of INNER, LEFT and OUTER JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a healthcare company.

The resulting output should strictly be the SQL query without any surrounding text."
101,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <schema>.<table> or kusto's <database>['|'].<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of some creative JOIN operations. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a medium length but intricate query.

Create the query as if it was for a bank.

The resulting output should strictly be the SQL query without any surrounding text."
102,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <table>, <database>.<schema>.<table> or <database>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of INNER, LEFT and OUTER JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a company in the energy sector.

The resulting output should strictly be the SQL query without any surrounding text."
103,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of regular joins and a final CROSS JOIN. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a news site.

The resulting output should strictly be the SQL query without any surrounding text."
104,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <schema>.<table> or kusto's <database>['|'].<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of INNER, LEFT and OUTER JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for an e-commerce site.

The resulting output should strictly be the SQL query without any surrounding text."
105,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like kusto's <database>['|'].<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of the most frequent joins. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a manufacturing company.

The resulting output should strictly be the SQL query without any surrounding text."
106,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of intricate CROSS JOINS and LATERAL JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a bank.

The resulting output should strictly be the SQL query without any surrounding text."
107,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like kusto's <database>['|'].<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of regular joins and a final CROSS JOIN. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a company in the energy sector.

The resulting output should strictly be the SQL query without any surrounding text."
108,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <table>, <database>.<schema>.<table> or <database>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of some creative JOIN operations. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a medium length but intricate query.

Create the query as if it was for a marketing company.

The resulting output should strictly be the SQL query without any surrounding text."
109,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of a long list of JOIN operations on the tables. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a healthcare company.

The resulting output should strictly be the SQL query without any surrounding text."
110,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of INNER, LEFT and OUTER JOINS. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a pharmaceutical company.

The resulting output should strictly be the SQL query without any surrounding text."
111,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of the most frequent joins. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a medium length but intricate query.

Create the query as if it was for a real estate business.

The resulting output should strictly be the SQL query without any surrounding text."
112,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like kusto's <database>['|'].<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of the most frequent joins. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a logistics company.

The resulting output should strictly be the SQL query without any surrounding text."
113,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <project>.<dataset>.<table>, <table>, <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of some creative JOIN operations. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query don't include any Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a medium length but intricate query.

Create the query as if it was for a pharmaceutical company.

The resulting output should strictly be the SQL query without any surrounding text."
114,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <schema>.<table> or kusto's <database>['|'].<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of a long list of JOIN operations on the tables. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for an entertainment company.

The resulting output should strictly be the SQL query without any surrounding text."
115,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <database>.<schema>.<table>, <schema>.<table> or kusto's <database>['|'].<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of the most frequent joins. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query include multiple Common Table Expressions (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a medium length but intricate query.

Create the query as if it was for a telecommunications company.

The resulting output should strictly be the SQL query without any surrounding text."
116,"Generate an intricate SQL query without any preceding or trailing explanations or comments. 
Ensure the query meets the following criteria:

Tables & Columns: Include tables with different naming schemas, like <table>, <schema>.<table> or <database>.<schema>.<table>, substituting each for a valid and creative table name. Each table should have columns fitting its purpose.
Joins: Use a mix of some creative JOIN operations. The join conditions should represent realistic relationships between the tables.
Filtering: Use WHERE and HAVING clauses with meaningful conditions related to the provided table names and columns.
Grouping: Incorporate GROUP BY on certain columns and accompany it with aggregate functions such as SUM(), AVG(), or COUNT().
Functions: Utilize functions like DATE_FORMAT(), CONCAT(), or UPPER() where they fit naturally.
Column Renaming: Rename some of the output columns using the AS keyword, e.g., SUM(orders.total_price) AS TotalSales.
Subqueries & CTEs: Integrate multiple subqueries within the main query and include a Common Table Expression (CTE). Names have to be relevant.
Creativity: Add any other SQL clauses or functions to enhance complexity, but ensure all table and column names remain realistic.
Length: Make it a very long and intricate query.

Create the query as if it was for a real estate business.

The resulting output should strictly be the SQL query without any surrounding text."
